drug1,drug2,text,label
anastrozole,levofloxacin,High-risk drug combinations included anastrozole + levofloxacin (Ω = 4.23),1
duloxetine,ondansetron,High-risk drug combinations included duloxetine + ondansetron (Ω = 4.29),1
amphotericin B,fluoxetine,High-risk drug combinations included amphotericin B + fluoxetine (Ω = 4.30),1
quetiapine,sertindole,High-risk drug combinations included quetiapine + sertindole (Ω = 4.25),1
risperidone,sulfamethoxazole/trimethoprim,High-risk drug combinations included risperidone + sulfamethoxazole/trimethoprim (Ω = 4.16),1
Rifampicin,Codeine,"Rifampicin, a known cytochrome P450 enzyme inducer, increases metabolism of codeine...",1
Rifampicin,Loperamide,...and increases metabolism of both codeine and loperamide,1
Rifamycin (RIF),"DPP-4 inhibitors (saxagliptin, gemigliptin, evogliptin)",RIF significantly reduced the plasma exposure of DPP4i,1
CTX (cyclophosphamide),"licorice-derived compounds (liquiritin, isoliquiritigenin, formononetin, glycyrrhetinic acid)","Co-administration with CTX further increased the absorption of ginsenosides but markedly reduced the exposure and accelerated the clearance of licorice-derived compounds (liquiritin, isoliquiritigenin, formononetin, and glycyrrhetinic acid).",1
CTX (cyclophosphamide),licorice-derived compounds (glycyrrhetinic acid),"Co-administration with CTX further increased the absorption of ginsenosides but markedly reduced the exposure and accelerated the clearance of licorice-derived compounds (liquiritin, isoliquiritigenin, formononetin, and glycyrrhetinic acid).",1
CTX (cyclophosphamide),ginsenosides,"Co-administration with CTX further increased the absorption of ginsenosides but markedly reduced the exposure and accelerated the clearance of licorice-derived compounds (liquiritin, isoliquiritigenin, formononetin, and glycyrrhetinic acid).",1
Shenqi Oral Liquid (SQ),Atorvastatin (ATV),These findings suggest that dose adjustment of ATV may be necessary during combination therapy...,1
CDK4/6 inhibitors,OATP1B substrates (CDCA-24G and paclitaxel),"However, ribociclib, the most potent OATP1B inhibitor, did not influence the pharmacokinetics or pharmacodynamics of the OATP1B substrates CDCA-24G or paclitaxel.",1
Ribociclib,Simvastatin,"Based on two cases of severe rhabdomyolysis in patients taking a CDK4/6 inhibitor and simvastatin, a CYP3A and OATP1B substrate...",1
Linezolid,Rifampicin (high dose),"However, twice-daily linezolid may mitigate this effect and maintain therapeutic concentrations.",1
Phenobarbital (PB),Anticoagulants,Data suggest that PB does lead to clinically significant DDIs in multiple classes of medications.,1
Phenobarbital (PB),Antimicrobials,Data suggest that PB does lead to clinically significant DDIs in multiple classes of medications.,1
Phenobarbital (PB),Immunosuppressants,Data suggest that PB does lead to clinically significant DDIs in multiple classes of medications.,1
Busulfan,Phenytoin,"Interactions with medications known to affect CYP3A4, including phenytoin...",1
Busulfan,Metronidazole,"Interactions with medications known to affect CYP3A4, including metronidazole...",1
Busulfan,Rifampin,...accelerated busulfan clearance determined to be due to rifampin's effect on busulfan metabolism.,1
ritonavir,concomitantly administered drugs that are substrates of CYP3A4,may increase exposure to concomitantly administered drugs that are substrates of cytochrome P450 (CYP) 3A4,1
nifedipine,telmisartan,"the patient's plasma trough concentrations of nifedipine increased approximately four-fold and seven-fold at 24 and 96 h after initiation, respectively",1
melatonin,"concomitant medications metabolized through shared hepatic pathways with melatonin (e.g., acetaminophen, metamizole, omeprazole)","All affected patients were women taking polymedications metabolized through shared hepatic pathways with melatonin, suggesting a possible interaction leading to hepatic overload.",1
melatonin,"concomitant medications sharing liver metabolization pathways with melatonin (e.g., acetaminophen, metamizole, omeprazole)","This is attributed to a probable pharmacokinetic drug-drug interaction with concomitant medications sharing liver metabolization pathways with melatonin, leading to CYP450 metabolic pathways saturation.",1
nirmatrelvir/ritonavir,CYP3A4 inducers among antiepileptic drugs,Moderate or strong CYP3A4 inducers among antiepileptic drugs should be dose-adjusted in patients taking nirmatrelvir/ritonavir.,1
antiepileptic drugs,nirmatrelvir/ritonavir,Interactions with antiepileptic drugs are bidirectional.,1
verapamil,glasmacinal,the effect of verapamil (moderate CYP3A4 inhibitor and P-gp inhibitor) on the PK of glasmacinal,1
leflunomide,prednisolone,"Most frequent pDDIs were leflunomide–prednisolone (Lexidrug, 17.3%)",1
folic acid,methotrexate,"Most frequent pDDIs were folic acid–methotrexate (Micromedex, 15.1%)",1
ritonavir,nirmatrelvir,"Nirmatrelvir boosted with ritonavir is a key antiviral against COVID-19, yet ritonavir's potent CYP3A4 inhibition exposes patients to numerous drug-drug interactions. Nirmatrelvir/ritonavir was ultimately contraindicated in 26 patients.",1
statins,nirmatrelvir/ritonavir,"Among the 831 interacting medication lines, the main drug classes involved: statins (17.7%, 147/831)",1
immunosuppressants,nirmatrelvir/ritonavir,"Among the 831 interacting medication lines, the main drug classes involved: immunosuppressants (12.0%, 100/831)",1
direct oral anticoagulants,nirmatrelvir/ritonavir,"Among the 831 interacting medication lines, the main drug classes involved: direct oral anticoagulants (10.5%, 87/831)",1
aficamten,carbamazepine,Treatment with carbamazepine decreased aficamten exposure by 50%,1
aficamten,itraconazole,"Minor increases in aficamten exposure (area under the curve) were observed following treatment with itraconazole (26%), paroxetine (27%), and fluoxetine (32%) compared with aficamten alone",1
aficamten,paroxetine,"Minor increases in aficamten exposure (area under the curve) were observed following treatment with itraconazole (26%), paroxetine (27%), and fluoxetine (32%) compared with aficamten alone",1
aficamten,fluoxetine,"Minor increases in aficamten exposure (area under the curve) were observed following treatment with itraconazole (26%), paroxetine (27%), and fluoxetine (32%) compared with aficamten alone",1
aficamten,fluconazole,"Concomitant administration of aficamten with fluconazole, a multi-P450 inhibitor, resulted in a 278% increase in aficamten exposure",1
aficamten,dabigatran etexilate,A small increase (26%-27%) in dabigatran exposure was observed in the presence of aficamten; indicative of weak inhibition of P-gp,1
Thiazides,"Fluoropyrimidines (5-FU, capecitabine)",The European Summary of Product Characteristics (SmPC) for 5-FU warns of significant granulocyte decline when combined with thiazides...,1
Thiazides,Cyclophosphamide,"The European Summary of Product Characteristics (SmPC) for 5-FU warns of significant granulocyte decline when combined with thiazides, cyclophosphamide...",1
Thiazides,Methotrexate,"The European Summary of Product Characteristics (SmPC) for 5-FU warns of significant granulocyte decline when combined with thiazides, cyclophosphamide, or methotrexate...",1
Thiazides,Capecitabine,We conducted a retrospective cohort study to compare myelotoxicity in patients receiving fluoropyrimidines with or without thiazides.,1
PPIs (Proton-pump inhibitors),IO-IO therapy (ipilimumab plus nivolumab),"PPI use was significantly associated with shorter OS in patients receiving IO-IO therapy (median OS, 23.34 months vs. not reached; P = .002)",1
PPIs (Proton-pump inhibitors),IO-TKI therapy,No significant differences in PFS or ORR were observed between PPI users and nonusers in those receiving IO-TKI therapy,1
PPIs (Proton-pump inhibitors),IO-IO therapy,"Caution is advised when prescribing PPIs to patients undergoing ICI-based therapy, particularly IO-IO regimens",1
albendazole,77 drugs,The aim of this study was to investigate the potential inhibitory effects of 77 drugs on the metabolism of albendazole,1
albendazole,apatinib,further to elaborate the inhibitory mechanism of apatinib on albendazole metabolism in vitro and in vivo,1
Amitriptyline,CYP2D6 poor metaboliser status,"For CYP2D6 poor metabolisers (PM), dose reductions are advised for amitriptyline",1
Clomipramine,CYP2D6 poor metaboliser status,"For CYP2D6 poor metabolisers (PM), dose reductions are advised for clomipramine",1
Doxepin,CYP2D6 poor metaboliser status,"For CYP2D6 poor metabolisers (PM), dose reductions are advised for doxepin",1
Imipramine,CYP2D6 poor metaboliser status,"For CYP2D6 poor metabolisers (PM), dose reductions are advised for imipramine",1
Nortriptyline,CYP2D6 poor metaboliser status,"For CYP2D6 poor metabolisers (PM), dose reductions are advised for nortriptyline",1
Amitriptyline,CYP2D6 intermediate metaboliser status,For CYP2D6 intermediate metabolisers (IM) reduced dose is also recommended for amitriptyline,1
Clomipramine,CYP2D6 intermediate metaboliser status,For CYP2D6 intermediate metabolisers (IM) reduced dose is also recommended for clomipramine,1
Doxepin,CYP2D6 intermediate metaboliser status,For CYP2D6 intermediate metabolisers (IM) reduced dose is also recommended for doxepin,1
Imipramine,CYP2D6 intermediate metaboliser status,For CYP2D6 intermediate metabolisers (IM) reduced dose is also recommended for imipramine,1
Nortriptyline,CYP2D6 intermediate metaboliser status,For CYP2D6 intermediate metabolisers (IM) reduced dose is also recommended for nortriptyline,1
Amitriptyline,CYP2D6 ultra-rapid metaboliser status,For CYP2D6 ultra-rapid metabolisers (UM) require tailored dose adjustments: amitriptyline,1
Clomipramine,CYP2D6 ultra-rapid metaboliser status,For CYP2D6 ultra-rapid metabolisers (UM) require tailored dose adjustments: clomipramine,1
Doxepin,CYP2D6 ultra-rapid metaboliser status,For CYP2D6 ultra-rapid metabolisers (UM) require tailored dose adjustments: doxepin,1
Imipramine,CYP2D6 ultra-rapid metaboliser status,For CYP2D6 ultra-rapid metabolisers (UM) require tailored dose adjustments: imipramine,1
Nortriptyline,CYP2D6 ultra-rapid metaboliser status,For CYP2D6 ultra-rapid metabolisers (UM) require tailored dose adjustments: nortriptyline,1
Imipramine,CYP2C19 poor metaboliser status,"For CYP2C19 PM, a 70% dose reduction is advised for imipramine",1
Clomipramine,CYP2C19 ultra-rapid metaboliser status (in anxiety and OCD),"For CYP2C19 UM, an alternative medication is recommended for clomipramine prescribed for anxiety and obsessive-compulsive disorder (OCD)",1
amiodarone,apixaban,Four patients prescribed apixaban with amiodarone had INRs greater than or equal to 3.,1
Xihuang pill (XHP),AMPK agonist,"The impact of the AMPK pathway was investigated using an AMPK agonist. XHP also decreased AMPK signaling, activating dual pyroptosis-associated pathways, which could be reversed by an AMPK agonist.",0
fipaxalparant,pirfenidone/nintedanib,The study demonstrated no relevant mutual DDIs between fipaxalparant and pirfenidone/nintedanib at clinical doses.,1
fipaxalparant,itraconazole,There was no effect of itraconazole 400 mg on fipaxalparant exposure.,1
fipaxalparant,rifampin,A single rifampin 600 mg dose caused 1.48-fold and 1.86-fold increases in fipaxalparant C,1
trametinib (TRA),regorafenib (REG) and its metabolites,to assess the impact of trametinib (TRA) on their pharmacokinetic profiles,1
DOACs,Gastrointestinal bleeding,DDIs with DOACs were associated with gastrointestinal bleeding (2.80 [1.35-5.81]).,0
CNS drugs,Stroke,DDIs with CNS drugs were associated with stroke (1.19 [1.09-1.29]).,1
CNS drugs,Falls,DDIs with CNS drugs were associated with falls (1.32 [1.27-1.39]).,0
Emicizumab,FVIII (Recombinant FVIII),"A synergistic interaction between emicizumab and FVIII was observed, resulting in enhanced endogenous thrombin potential and peak thrombin generation beyond the levels expected from either agent alone.",1
Emicizumab,FVIII (Endogenous),"Emicizumab binds to FIX/IXa and FX with considerably lower affinity than FVIIIa, suggesting that FVIII may outcompete emicizumab when present at higher concentrations.",1
Pentamidine,Clopidogrel,"concomitant use of clopidogrel, an organic cation transporter 1 (OCT1) inhibitor that may affect pentamidine disposition",1
efavirenz,tolbutamide,MD efavirenz caused more than 50% increase in median tolbutamide AUC,1
Abemaciclib,CYP3A4 (enzyme),The study confirmed CYP3A4 as the primary enzyme metabolizing abemaciclib.,1
antihistamines,drugs for depression,possible increases in MCM risk with antihistamines (1.64 (1.14-2.28)),1
levothyroxine,drugs for depression,possible increases in MCM risk with levothyroxine (1.72 (1.12-2.53)),1
opioids,drugs for depression,potential decrease with opioids (0.51 (0.27-0.86),1
drugs for psychosis,drugs for depression,"for CHDs, drugs for psychosis (1.67 (1.01-2.60))",1
nonsteroidal anti-inflammatory/antirheumatic medications,drugs for depression,"for CHDs, nonsteroidal anti-inflammatory/antirheumatic medications (2.07 (1.23-3.25))",1
topical corticosteroid,drugs for depression,"for CHDs, topical corticosteroid (2.07 (1.02-3.71))",1
progesterone,drugs for depression,"for CHDs, progesterone (2.01 (1.06-3.45))",1
CYP or P-gp inhibitors,Loperamide,Increasing case reports have described exaggerated peripheral opioid effects and cardiac toxicities when ultra-high doses (> 70 mg) of loperamide are consumed alone and with CYP or P-gp inhibitors.,1
Rifampin,Carbamazepine,reduced and non-selective induction by drugs like carbamazepine,1
Rifampin,Phenytoin,reduced and non-selective induction by drugs like phenytoin,1
Cyclosporine,Organic Anion Transporting polypeptide 1B (OATP1B) substrates,non-selective OATP inhibition by cyclosporine,1
fexinidazole,midazolam,"Contrary to the in vitro predictions, fexinidazole significantly reduced midazolam exposure in vivo, resulting in a reduction of 39% in C",1
fexinidazole,CYP3A4 substrates,"Therefore, this study investigated the potential clinical drug-drug interactions (DDIs) of fexinidazole with CYP3A4 substrates.",1
fexinidazole,CYP3A4/5,"Thus, it is suggested to update the product information by including the potential for CYP3A4/5 induction in vitro,",1
dexamethasone,apatinib,"In rats, dexamethasone decreased apatinib exposure by inducing CYP3A expression",1
ketoconazole,apatinib,while ketoconazole increased exposure without altering CYP3A levels,1
vemurafenib,docetaxel,Our experiments showed that the most advantageous combination was the combination of vemurafenib with docetaxel for human melanoma lines-statistically significant synergy interaction for three cell lines.,1
vemurafenib,selumetinib,"Also noteworthy are the combinations: vemurafenib with selumetinib, and vemurafenib with mitoxantrone.",1
vemurafenib,mitoxantrone,"Also noteworthy are the combinations: vemurafenib with selumetinib, and vemurafenib with mitoxantrone.",1
cisplatin,mitoxantrone,"Also noteworthy are the combinations: cisplatin with mitoxantrone, vemurafenib with selumetinib, and vemurafenib with mitoxantrone.",1
cisplatin,docetaxel,"From a therapeutic point of view, the worst combination is cisplatin with docetaxel and cisplatin with selumetinib (interaction with a tendency to antagonism for the two cell lines).",1
cisplatin,selumetinib,"From a therapeutic point of view, the worst combination is cisplatin with docetaxel and cisplatin with selumetinib (interaction with a tendency to antagonism for the two cell lines).",1
encorafenib,midazolam,"At steady-state encorafenib plasma concentrations, midazolam plasma Cmax was reduced by approximately 50%.",1
mocravimod,itraconazole,"As mocravimod is co-administered with CYP3A4 inhibitors such as azoles or cyclosporin, the potential for drug-drug interactions (DDIs) was evaluated.",1
mocravimod,cyclosporin,The PK of mocravimod and mocravimod-phosphate were bioequivalent with or without co-administration of multiple doses of itraconazole and a moderate interaction is observed when co-administered with cyclosporin.,1
Letermovir (LMV),Cyclosporine,Acute heart failure and atrial fibrillation AE signals were detected when combined with cyclosporine.,1
Letermovir (LMV),Tacrolimus,"When used in combination with tacrolimus, one needs to be alert to the occurrence of aGVHD in skin/intestine.",1
Letermovir (LMV),Cyclosporine or Tacrolimus,There was a positive AE signal difference when LMV was combined with cyclosporine or tacrolimus.,1
rifampicin,pyridoxine,"Exclusion criteria were active tuberculosis or receipt of antituberculosis therapy within 6 months of hospitalisation, pregnancy or lactation, allergies to antituberculosis therapy, another investigational drug within the past month, chronic liver disease, heavy alcohol use, positive serum cryptococcal antigen, or anticipated significant drug-drug interaction with rifampicin.",1
ceftriaxone,antituberculosis therapy,All participants received 2 g intravenous ceftriaxone daily for 7 days. The primary endpoint was 28-day mortality analysed in the modified intention-to-treat population and in the subgroup with later confirmed tuberculosis.,1
high-dose antituberculosis therapy,ceftriaxone,Numerically more events of drug-induced liver injury occurred in the immediate high-dose group compared with any other group.,1
QT-interval prolonging drugs,Multiple drugs,Special attention should be paid to older patients taking more than one QT-interval prolonging drug.,1
clozapine,mirabegron,"mirabegron's moderate inhibition of CYP2D6, contributing to clozapine overdose",1
clozapine,cytochrome inhibitors (presumably mirabegron),Monitoring clozapine concentrations after introduction of clozapine's cytochrome inhibitors is recommended to prevent dose-dependent adverse effects such as sedation and falls,1
Pantoprazole,Clozapine,...clinicians should consider concomitant acid-reducing agents when interpreting clozapine therapeutic drug monitoring results.,1
Panduratin A,GS-5801 (KDM5 inhibitor),Co-treatment with GS-5801 produced synergistic activity,1
Panduratin A,NVR-3778 (capsid assembly modulator),combination with NVR-3778 yielded additive antiviral effects,1
rasagiline,sertraline or escitalopram,complicated by multiple organ failure in a patient with Parkinson's disease following the sequential administration of two selective serotonin reuptake inhibitors (sertraline and escitalopram) while on a stable regimen of the monoamine oxidase-B inhibitor rasagiline,1
SSRIs/SNRIs,"Opioids (e.g., tramadol, fentanyl, oxycodone)","Concomitant SSRI/SNRI-opioid use showed exceptionally strong signals for serotonin syndrome (SSRI-opioid ROR 95.94, 95% CI 88.9-103.53; SNRI-opioid ROR 57.68, 95% CI 52.32-63.59)",1
DOACs,antidepressants,"The proportion of bleeding events was 31.00% (64,165/207,000) in the DOACs monotherapy group versus 57.92% (307/530) in the DOACs-antidepressant combination therapy group.",0
DOACs,SSRIs,"Selective serotonin reuptake inhibitors (SSRIs) presented the highest class risk (ROR 1.78, 95% CI 1.54-2.04)",0
DOACs,paroxetine,"apixaban plus paroxetine showing the strongest signal (ROR 14.12, 95% CI 7.62-26.15)",0
DOACs,mirtazapine,"Nervous system bleeding was also elevated (ROR 1.86, 95% CI 1.44-2.40)",0
fluoxetine,DMT,Both fluoxetine and paroxetine increased HRM exposure and produced moderate increases in DMT systemic concentrations.,1
paroxetine,DMT,Both fluoxetine and paroxetine increased HRM exposure and produced moderate increases in DMT systemic concentrations.,1
fluoxetine,HRM,These effects were consistent with CYP2D6 inhibition and enhanced monoamine oxidase A blockade.,1
paroxetine,HRM,These effects were consistent with CYP2D6 inhibition and enhanced monoamine oxidase A blockade.,1
Apalutamide (Apa),Cyclosporine (CsA),A sustained DDI between Apa and CsA-a CYP3A4 substrate-,1
Apalutamide (Apa),CYP3A4 substrates,Careful monitoring is necessary when Apa is coadministered with CYP3A4 substrates,1
brusatol,cisplatin,intensifying dose-dependent nephrotoxicity,1
metamizole,"CYP3A4, CYP2B6, CYP2C19 inhibitors (e.g., other drugs)","Metamizole is a moderate inducer of cytochrome P450 enzymes (CYP3A4, CYP2B6, CYP2C19)",1
metamizole,interacting medications (orange and red),"Of the 98 interacting medications identified, 95% were classified as orange, and 5% as red.",1
voriconazole,rifapentine,the waning enzyme-induction effect may subsequently lead to supra-therapeutic exposure and potential toxicity,1
Dabigatran,Levofloxacin,"TDM showed significantly elevated peak dabigatran concentrations with levofloxacin (133.36 ng/mL, p < 0.001)",1
Dabigatran,Ciprofloxacin,"FAERS analysis identified a significant reporting signal for bleeding for dabigatran coadministered with FQNs (adj. ROR = 4.68, 95% CI: 3.41-6.55), particularly ciprofloxacin (adj. ROR = 3.84)",1
Miricorilant,"CYP3A4 Inhibitor (e.g., Ketoconazole, Itraconazole)",Miricorilant was a modest inhibitor of CYP3A4,1
Miricorilant,"CYP2C8 Inhibitor (e.g., Gemfibrozil, Fenofibrate)",Miricorilant was a strong inhibitor of CYP2C8,1
Miricorilant,"BCRP Inhibitor (e.g., Fexofenadine, Digoxin)",Miricorilant was a strong inhibitor of BCRP,1
Miricorilant,"CYP2C19 Inducer (e.g., Rifampicin, Carbamazepine)",Miricorilant showed a concentration-dependent induction of CYP3A4 (6.5-fold) in 1 out of 3 donors tested,1
Miricorilant,"CYP2C19 Inhibitor (e.g., Fluconazole, Erythromycin)",Miricorilant was a moderately sensitive substrate of CYP2C19,1
Miricorilant,"CYP3A4 Inducer (e.g., St. John's Wort, Rifampicin)",Miricorilant showed a concentration-dependent induction of CYP3A4 (6.5-fold) in 1 out of 3 donors tested,1
"SSRIs (sertraline, citalopram, escitalopram, fluoxetine, paroxetine)",oxycodone,may potentiate respiratory depression,1
citalopram,sertraline,"Weighted HRs, relative to sertraline, were 1.24 (95% CI = 1.04, 1.50) for citalopram",1
escitalopram,sertraline,"Weighted HRs, relative to sertraline, were 1.22 (95% CI = 1.01, 1.47) for escitalopram",1
fluoxetine,sertraline,"Weighted HRs, relative to sertraline, were 1.26 (95% CI = 1.04, 1.53) for fluoxetine",1
paroxetine,sertraline,"Weighted HRs, relative to sertraline, were 1.26 (95% CI = 1.01, 1.57) for paroxetine",1
Resveratrol,Erlotinib,Single and multiple doses of resveratrol significantly increased the total area under the curve (AUC) of erlotinib.,1
Diltiazem,Verapamil,combined p-glycoprotein and moderate CYP3A4 inhibitors,1
DOACs (Direct Oral Anticoagulants),Diltiazem/Verapamil,significantly increase the concentrations of DOACs,1
Diltiazem/Verapamil,DOACs (Direct Oral Anticoagulants),increases the risks of bleeding outcomes compared with the DOAC monotherapy group,1
Dexamethasone,Ciprofloxacin,Dexamethasone administration resulted in a significant increase in resistance for ciprofloxacin...,1
Dexamethasone,Ticarcillin,Dexamethasone administration resulted in a significant increase in resistance for ticarcillin...,1
Dexamethasone,Tobramycin,Dexamethasone administration resulted in a significant increase in resistance for tobramycin...,1
Dexamethasone,Ceftiofur,Dexamethasone administration resulted in a significant increase in resistance for ceftiofur...,1
Dexamethasone,Moxifloxacin,Dexamethasone administration resulted in a significant increase in resistance for moxifloxacin...,1
Dexamethasone,Amikacin,...amikacin and cefazolin showed minimal impact on resistance when combined with dexamethasone...,1
Dexamethasone,Cefazolin,...amikacin and cefazolin showed minimal impact on resistance when combined with dexamethasone...,1
STM2457,cisplatin,"Furthermore, STM2457 demonstrated strong synergistic effects with cisplatin (CI <1), markedly enhancing apoptosis induction.",1
Apalutamide,Warfarin,"Enzalutamide and apalutamide are strong inducers of CYP3A4, which may reduce exposure to warfarin",1
Apalutamide,DOACs (Direct Oral Anticoagulants),"Apalutamide induces P-gp, and therefore has DDIs with all direct oral anticoagulants (DOACs)",1
Apixaban,Enzalutamide/Apalutamide,"Enzalutamide and apalutamide are strong inducers of CYP3A4, which may reduce exposure to warfarin, apixaban, and rivaroxaban",1
Rivaroxaban,Enzalutamide/Apalutamide,"Enzalutamide and apalutamide are strong inducers of CYP3A4, which may reduce exposure to warfarin, apixaban, and rivaroxaban",1
venlafaxine,esketamine,potential signals of additive drug-drug interactions were detected for antidepressants (venlafaxine) and esketamine,1
bupropion,esketamine,potential signals of additive drug-drug interactions were detected for antidepressants (bupropion) and esketamine,1
risperidone,esketamine,potential signals of additive drug-drug interactions were detected for antipsychotics (risperidone) and esketamine,1
CBD,Amitriptyline,CBD has previously been shown to inhibit CYP-mediated drug metabolism.,1
CBD,Tramadol,"In patients, CBD-induced drug interactions may be more pronounced in chronic dosing and dependent upon prandial status.",1
Diclofenac (DCF),Paracetamol (PCT),"...in mixtures with unequal ratios (1:10 or 1:100 with a predominance of DCF or PCT), their interaction attenuated with time to additive...",1
metformin,doxorubicin (adriamycin),...and transcriptional regulation of key apoptotic markers.,1
Enzalutamide (ENZ),Repaglinide (REP),"ENZ, as a CYP3A4 inducer",1
oseltamivir,warfarin,"Treatment with oseltamivir for influenza was introduced, leading to a rapid increase in the INR value within less than a week and a recurrence of digestive bleeding.",1
Methotrexate (MTX),Trimethoprim-sulfamethoxazole (TMP-SMX),"Among the most dangerous drug interactions is the combination of MTX with trimethoprim-sulfamethoxazole (TMP-SMX), which creates synergistic toxicity.",1
isavuconazole,itraconazole,The model well-predicted isavuconazole pharmacokinetic changes with cytochrome-P450 3A (CYP3A) modulators (itraconazole and rifampicin),1
isavuconazole,rifampicin,The model well-predicted isavuconazole pharmacokinetic changes with cytochrome-P450 3A (CYP3A) modulators (itraconazole and rifampicin),1
isavuconazole,ketoconazole,"The PBPK model predicted area under the plasma concentration-time curve ratios of 2.1, 1.1, and 2.1 for ibrutinib, venetoclax, and midostaurin, respectively, when co-administered with isavuconazole at clinically relevant doses",1
isavuconazole,midazolam,recovered midazolam DDI with isavuconazole as a CYP3A inhibitor,1
isavuconazole,ibrutinib,The findings suggest that isavuconazole can be safely co-administered following appropriate dose adjustments with ibrutinib (50% of normal dose),1
isavuconazole,venetoclax,The findings suggest that isavuconazole can be safely co-administered following appropriate dose adjustments with venetoclax (50-100% of normal dose),1
isavuconazole,midostaurin,The findings suggest that isavuconazole can be safely co-administered following appropriate dose adjustments with midostaurin (50% of normal dose),1
posaconazole,substrate drugs,"Other azoles, posaconazole and voriconazole, showed larger CYP3A-mediated DDIs and consequently require 3-6-fold lower doses of the substrate drugs",1
voriconazole,substrate drugs,"Other azoles, posaconazole and voriconazole, showed larger CYP3A-mediated DDIs and consequently require 3-6-fold lower doses of the substrate drugs",1
acetylcholinesterase inhibitors,heart rate-reducing drugs,"concurrent use of acetylcholinesterase inhibitors and heart rate-reducing drugs had the longest median exposure duration (81 days; Q1-Q3, 24-235)",1
≥ 3 CNS-active drugs,None specified,"concomitant use of ≥ 3 CNS-active drugs was observed in 27.1% (95% CLs, 27.0%, 27.2%) of residents",1
Telisotuzumab vedotin,Ketoconazole,"CYP3A-mediated DDI simulations demonstrated that when Teliso-V was modeled as the victim, a 43% increase in MMAE AUC were predicted with ketoconazole (strong CYP3A4-inhibitor) coadministration.",1
Telisotuzumab vedotin,Rifampin,"CYP3A-mediated DDI simulations demonstrated that when Teliso-V was modeled as the victim, a 70% decrease in MMAE AUC were predicted with rifampin (strong CYP3A4-inducer) coadministration.",1
Telisotuzumab vedotin,Brentuximab vedotin,DDI magnitude was comparable to that observed between another approved ADC with the same MMAE payload (brentuximab vedotin) and ketoconazole and rifampin.,1
Telisotuzumab vedotin,Midazolam,"The current analysis provides important information on Teliso-V DDI potential and further demonstrates the utility of PBPK models, particularly in oncology, where dedicated DDI studies are challenging. The current PBPK simulations demonstrated a lack of perpetrator effect of Teliso-V on midazolam, a sensitive CYP3A substrate.",1
Rifampin,Rosuvastatin (RSV),DDI with rifampin,1
Cyclosporine,Rosuvastatin (RSV),DDI with cyclosporine,1
Rifampicin,Atazanavir (ATV/r),Doubling the ATV/r dosing frequency to BID effectively mitigated this interaction.,1
rifampicin,GCDCA-S,the inhibitory effect of rifampicin on GCDCA-S hepatic clearance (CL,1
probenecid,GCDCA-S,OAT3 inhibitor probenecid,1
Cannabidiol (CBD),Valproate (VPA),Clinical trial data have demonstrated that CBD carries a risk for severe hepatotoxicity that is greatly increased when prescribed with VPA through an unknown mechanism.,1
Nirmatrelvir/ritonavir (NRMr),Cyclosporine,"Although cyclosporine levels outside therapeutic range were common immediately after completion of NRMr treatment, levels were restored rapidly.",1
EX527,PAX,The combination of these compounds used in the 1:1 dose-ratio augmented all these effects,0
cannabis,DNTI (drugs with a narrow therapeutic index),"The risk of drug-related intoxication was 2.61, 95%CI (1.42-4.79) amongst 3926 patients exposed to cannabis and DNTI compared to 12 223 controls.",1
Rifampin,Segesterone acetate (SA),"The study aimed to assess the pharmacokinetics of SA and EE from the CVS in healthy women when co-administered with rifampin, thus influencing risk of pregnancy or side effects.",1
Gentamicin,Meropenem,Gentamicin and meropenem were synergistic in decreasing ciprofloxacin IC,1
Asciminib,Shikonin,Pharmacokinetic results showed that shikonin reduced the CLz/F and increased the AUC of asciminib.,1
cathinone,OAD (Oral Anti-Diabetic) therapy,"khat (Catha edulis), a psychoactive plant commonly chewed in Ethiopia, is known to influence drug metabolism through its active compound, cathinone.",1
glibenclamide,cathinone,The most frequently implicated drugs were glibenclamide and sitagliptin.,1
sitagliptin,cathinone,The most frequently implicated drugs were glibenclamide and sitagliptin.,1
LEV,BU,LEV prophylaxis is associated with higher BU blood concentration,0
PHT,BU,"At 0 hour post-infusion, BU blood concentrations did not differ significantly between groups",0
Fluconazole,None specified (myopathy),"Voriconazole, fluconazole, and itraconazole were associated with myopathy in narrow and broad SMQ searches.",1
Itraconazole,None specified (myopathy),"Voriconazole, fluconazole, and itraconazole were associated with myopathy in narrow and broad SMQ searches.",1
Posaconazole,None specified (myopathy),Posaconazole and isavuconazole were associated with myopathy in the broad SMQ search.,1
Isavuconazole,None specified (myopathy),Posaconazole and isavuconazole were associated with myopathy in the broad SMQ search.,1
clozapine,metformin,combinations of clozapine and metformin...,1
ziprasidone,metformin,combinations of ziprasidone and metformin...,1
risperidone,clonidine,combinations of risperidone and clonidine...,1
simvastatin,quetiapine,"Quetiapine interactions, especially with lipid-lowering agents such as simvastatin...",1
nirmatrelvir/ritonavir,clozapine,Other drug information resources consider the combination a contraindication.,1
clozapine,nirmatrelvir/ritonavir,Prescribing information describes a consideration for a clozapine dose reduction while monitoring for adverse reactions when clozapine is used with nirmatrelvir/ritonavir.,1
CYP3A4 inhibitors (including ritonavir),clozapine,"In reviewing the literature, CYP3A4 inhibitors or genetic polymorphisms seem to have a minimal impact on clozapine levels...",1
